시도,시군구,총계,한우(두)_소계,한우(두)_허가,한우(두)_신고,한우(두)_신고미만,젖소(두)_소계,젖소(두)_허가,젖소(두)_신고,젖소(두)_신고미만,돼지(두)_소계,돼지(두)_허가,돼지(두)_신고,돼지(두)_신고미만,닭(두)_소계,닭(두)_허가,닭(두)_신고,닭(두)_신고미만,말(두)_소계,말(두)_허가,말(두)_신고,말(두)_신고미만,산양_염소(두)_소계,산양_염소(두)_허가,산양_염소(두)_신고,산양_염소(두)_신고미만,면양_육양(두)_소계,면양_육양(두)_허가,면양_육양(두)_신고,면양_육양(두)_신고미만,사슴(두)_소계,사슴(두)_허가,사슴(두)_신고,사슴(두)_신고미만,개(두)_소계,개(두)_허가,개(두)_신고,개(두)_신고미만,오리(두)_소계,오리(두)_허가,오리(두)_신고,오리(두)_신고미만,타조(두)_소계,타조(두)_허가,타조(두)_신고,타조(두)_신고미만,가금기타(두)_소계,가금기타(두)_허가,가금기타(두)_신고,가금기타(두)_신고미만
강원도,춘천시,1049656,17971,6832,8017,3122,815,573,229,13,22532,21654,854,24,976903,80000,743011,153892,17,0,17,0,1176,0,851,325,530,0,0,530,299,0,0,299,2075,0,1093,982,17087,0,17000,87,9,0,0,9,10242,0,0,10242
강원도,태백시,55482,1582,760,601,221,0,0,0,0,2742,980,1760,2,49769,0,48000,1769,8,0,0,8,217,0,0,217,0,0,0,0,323,0,0,323,774,0,0,774,48,0,0,48,0,0,0,0,19,0,0,19
강원도,평창군,65151,13126,7469,3455,2202,1920,1714,206,0,10595,10298,137,160,32287,11500,12312,8475,130,130,0,0,799,0,232,567,1103,0,1072,31,363,0,351,12,2300,0,2300,0,2380,0,2000,380,0,0,0,0,148,0,0,148
강원도,홍천군,1029441,25134,4556,18453,2125,2500,1347,1146,7,42363,39720,2643,0,943750,0,891708,52042,151,115,36,0,991,0,780,211,0,0,0,0,47,0,45,2,2205,0,2205,0,12300,0,12300,0,0,0,0,0,0,0,0,0
강원도,화천군,891159,5619,0,4959,660,137,0,137,0,22627,0,22399,228,858391,0,850800,7591,8,0,0,8,746,0,350,396,0,0,0,0,320,0,90,230,3163,0,360,2803,56,0,0,56,0,0,0,0,92,0,0,92
강원도,횡성군,1786020,44772,24172,18413,2187,2485,2003,482,0,61302,61302,0,0,1159004,570000,589004,0,16,0,15,1,463,0,0,463,0,0,0,0,165,0,40,125,7813,0,7413,400,0,0,0,0,0,0,0,0,510000,0,510000,0
충청북도,괴산군,2125827,16253,4558,6840,4855,695,441,60,194,91058,75583,13327,2148,1936896,115413,1790854,30629,33,0,8,25,6746,0,529,6217,0,0,0,0,338,0,6,332,13256,0,3497,9759,60526,0,30000,30526,0,0,0,0,26,0,0,26
충청북도,단양군,428595,3903,482,3250,171,139,0,126,13,8813,7057,1756,0,414519,0,414519,0,0,0,0,0,110,0,0,110,0,0,0,0,22,0,0,22,989,0,989,0,100,0,100,0,0,0,0,0,0,0,0,0
충청북도,보은군,935517,23570,12731,6242,4597,2696,2083,547,66,19614,17270,1981,363,885557,352992,525520,7045,18,0,9,9,1422,0,768,654,0,0,0,0,325,0,121,204,2176,0,684,1492,139,0,0,139,0,0,0,0,0,0,0,0
충청북도,영동군,1469178,9130,2069,5335,1726,1018,565,444,9,19138,18452,603,83,1176811,0,1171619,5192,8,0,0,8,1454,0,695,759,0,0,0,0,179,6,39,134,5295,0,1575,3720,36145,0,24000,12145,0,0,0,0,220000,0,0,220000
충청북도,옥천군,964473,16940,3719,3775,9446,576,99,236,241,14903,13552,0,1351,922582,0,85300,837282,11,0,0,11,2221,0,702,1519,0,0,0,0,75,0,1,74,7009,0,0,7009,107,0,0,107,14,0,0,14,35,0,0,35
충청북도,음성군,4777031,20827,5138,10083,5606,2563,806,788,969,79295,58086,3486,17723,4008549,38000,2934784,1035765,9,0,0,9,1454,0,0,1454,0,0,0,0,372,0,0,372,22060,0,11131,10929,640371,0,340618,299753,42,0,0,42,1489,0,0,1489
충청북도,제천시,1034902,15811,7879,7030,902,376,221,155,0,26431,20871,5560,0,978450,0,971988,6462,38,20,0,18,3115,0,809,2306,0,0,0,0,139,0,28,111,10400,0,9442,958,142,0,0,142,0,0,0,0,0,0,0,0
충청북도,증평군,450320,3979,409,3280,290,588,70,518,0,23991,20345,3646,0,421319,0,415003,6316,0,0,0,0,28,0,0,28,0,0,0,0,169,0,0,169,244,0,0,244,2,0,1,1,0,0,0,0,0,0,0,0
충청북도,진천군,2390844,12089,3510,3033,5546,4304,2163,1114,1027,128689,114387,12267,2035,1695421,448460,984929,262032,11,0,7,4,2927,0,306,2621,0,0,0,0,962,8,37,917,18731,0,15434,3297,527710,145879,186504,195327,0,0,0,0,0,0,0,0
충청북도,청주시상당구,512913,8225,5350,2637,238,1818,1053,765,0,15922,14750,1170,2,483145,0,483087,58,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1801,0,1561,240,2000,0,2000,0,0,0,0,0,0,0,0,0
충청북도,청주시서원구,129091,2008,387,1478,143,993,579,414,0,535,325,210,0,122010,0,122010,0,0,0,0,0,280,0,0,280,0,0,0,0,3,0,0,3,1260,0,690,570,2002,0,2000,2,0,0,0,0,0,0,0,0
충청북도,청주시청원구,561724,10745,2475,7205,1065,2992,396,2558,38,44566,21036,21470,2060,346122,0,346000,122,42,0,42,0,577,0,115,462,0,0,0,0,37,0,2,35,4865,0,4790,75,151760,0,151760,0,18,0,0,18,0,0,0,0
충청북도,청주시흥덕구,431272,3231,603,2212,416,2116,664,1302,150,8686,8380,78,228,374276,0,323700,50576,37,0,37,0,363,0,100,263,0,0,0,0,19,0,0,19,2499,0,912,1587,40045,0,30000,10045,0,0,0,0,0,0,0,0
충청북도,충주시,4183445,21253,8637,11683,933,1362,757,605,0,86697,84781,1916,0,3996491,1662756,2319769,13966,0,0,0,0,5402,0,2982,2420,0,0,0,0,1085,0,985,100,22015,0,22015,0,43560,12000,31560,0,0,0,0,0,5580,0,0,5580
충청남도,계룡시,2488,345,83,120,142,0,0,0,0,433,433,0,0,335,0,0,335,0,0,0,0,381,0,0,381,0,0,0,0,14,0,0,14,980,0,350,630,0,0,0,0,0,0,0,0,0,0,0,0
충청남도,공주시,1716349,31357,10991,16857,3509,3392,2528,833,31,52914,42113,10359,442,1569774,0,1561680,8094,54,0,7,47,1800,0,678,1122,0,0,0,0,1235,0,2,1233,8446,0,6110,2336,42660,0,42300,360,0,0,0,0,4717,0,0,4717
충청남도,금산군,568386,10397,2268,4554,3575,1247,90,293,864,13580,10232,3014,334,527749,0,327630,200119,32,0,0,32,1330,0,0,1330,0,0,0,0,169,0,0,169,13645,0,6978,6667,237,0,0,237,0,0,0,0,0,0,0,0
충청남도,논산시,1933671,14859,4469,9445,945,2963,1784,1179,0,136734,102012,34722,0,1715550,179168,1536382,0,98,0,98,0,1108,0,55,1053,0,0,0,0,348,0,60,288,6211,0,5851,360,55800,0,55800,0,0,0,0,0,0,0,0,0
충청남도,당진시,2965943,23819,7942,10362,5515,17021,11809,3393,1819,286013,181617,97352,7044,2623570,0,2567811,55759,117,0,117,0,1595,0,300,1295,0,0,0,0,1105,56,0,1049,8609,0,3504,5105,4079,0,4000,79,0,0,0,0,15,0,0,15
충청남도,보령시,1043871,19260,9969,7225,2066,5760,3615,2063,82,242604,204750,37854,0,745050,0,745050,0,0,0,0,0,897,0,897,0,0,0,0,0,0,0,0,0,300,0,300,0,30000,0,30000,0,0,0,0,0,0,0,0,0
충청남도,부여군,5037863,23000,3488,11841,7671,3040,1637,995,408,100888,92601,8123,164,4889788,40000,4255748,594040,36,0,0,36,3375,0,0,3375,0,0,0,0,506,0,0,506,7368,0,514,6854,9767,0,0,9767,0,0,0,0,95,0,0,95
충청남도,서산시,2228616,26773,5308,20547,918,4020,1322,2698,0,65934,44500,21434,0,2070350,0,2070260,90,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61500,0,61500,0,0,0,0,0,0,0,0,0
충청남도,서천군,914863,5758,1392,3943,423,1007,270,737,0,17985,13201,4784,0,885621,0,885245,376,54,0,54,0,1556,0,1449,107,0,0,0,0,82,0,45,37,2800,0,2800,0,0,0,0,0,0,0,0,0,0,0,0,0
충청남도,아산시,2906405,16828,5182,11642,4,9394,3634,5760,0,158116,71238,77028,9850,2672566,0,2672566,0,81,81,0,0,0,0,0,0,0,0,0,0,310,0,310,0,970,0,970,0,48140,0,48140,0,0,0,0,0,0,0,0,0
